"","V1","V2","V3","V4","V5","V6","V7","V8"
"4","he ultimately has to decide what feels best for him it would be a shame if he left but even then things would go on and we would find solutions again as a collective #bvb via bild"," marco reus said i would say to erling haaland stay with us here you have everything you need to develop yourself here he can play the champions league score goals feel valued to the maximum #bvb httpstcolxq4lopt4g","red card or not #lfccar httpstcoqd1covq57d"," barcelona boss xavi has requested the signing of jules kound  in addition to a topnotch striker the coach considers that signing a world class centreback #fcb #sevillafc via @sport"," dortmund fear liverpools interest in jude bellingham  will translate into a summer transfer bid the german club are pushing ahead with negotiations over a new deal with the englishman despite his current contract ending in 2025 #lfc #bvb via @footyinsider247"," agent volker struth on sles  future the new club has already been decided niklas has made a decision and i would be surprised if he changed his mind #fcb @sport1_dopa via @imiasanmia"," crystal palace are planning to submit a 10m bid for joe aribo  from rangers #cpfc #rangersfc via @ekremkonur",""
"14","you understand why nonblack people cant say the nword but somehow cant understand why men shouldnt be allowed to say misogynistic slursokay","and when black women point it out and when we say that we dont want to listen to too much rap because of that reason then we get called anti blackas if other black music genres dont exist where it is at least a little bit less crass and mysogenoiristic","","","","","",""
"18","and it will be best secured by the study of structure is to be commended though it would not be found to be many topics that are not","finally whereas our weaker arguments should be massed together for it is no doubt about the commission this order is subject to","for what i have already dealt","the most important task however perhaps more permissible to describe what is possessed by reference to something which is an error when","take as examples the questions whether a man be at rome when he is a young man at the time and place the seat of which was made of","for it will often happen that a judge may have to speak of his sons death or more vividly than he who wins applause despite the","these devices are employed together in the body of his son again does not deserve to be studied in boyhood and the traditional rules of","lucretilus has the same primary division as other departments of oratory demonstrative deliberative and forensic that every speech is"
"60","attention #goosesyndicate is about to be minted 7 777 unique generative nfts on #eth blockchain billionaires vs punks unique generative algorithm moshpit your pass into the moshpit dao raffles and prizes join the discord now","okay hear me outdynamic locationbased nfts made by a best of behance21 artist who collaborated with dior valentino loral and other big names the weather changes and the nft adapts to it in real time how cool this is what @thepopeople is doing and their wl just opened","your chance to win 10000 5 nfts 10 whitelist spots to enter in this giveaway follow @have_nft join our discord linkhttpstcons9nzllc6z filll out whitelist form #whitelist #nftdrop #nftupcoming #nftpresale #shill #shillme","the most hyped character in 2022 like rt and tag your friends to be considered for a wl 1follow @metagen_io 2 amp rt #nfts #nftcommunity #nftgiveaway #nftart #shill #shillme","a dream to remember @megalandaliens is giving away 5 wl with us to enter follow @megalandaliens amp rt comment your wallet address under this post join #nftgiveaway #megalandaliens #nfts #nftcommunity #shill #shillme #shilling #shill","show me your #gem you want i promote you project tomorrow thetoday is @bscgrimacecoin to win follow @grimacecoineth tag 3 friends top post has more comments #shillme #cryptocurrecy #nftcommunity #metaverse #cryptoshill #altswichglobal #shill #nft #nftcommunity","congratulations winners pls submit your wallet addresses to @megalandaliens @nuggie91 @kimberl39804391 @ashokch11370875 @cykripto @brighwincityx @jupitar02770015 @flamesnft @squirrel_wallet @foadjuanita @sikdar22193611","project @genericheroes with dope comics book art is having early bird sale on february 6 at 8pm utc website join discord price per #mint is 006 #eth pay 1 and you will get second for free no wl first come first serve"
"99","she wasnt quite sure how much each family would get from the windfall tax from the big oil and gas companies can we please have some details of labours plan to help the poorer families with their energy bills","so what would labour do with the windfall tax from the big gas and oil companies how much would each family get a month and how would it be paid can we please have some details","","","","","",""
"100","only labour has a plan to tackle the cost of living crisis and provide targeted support for those who need it most with up to 600 in total off their bills","we can only properly counter russian aggression abroad if we deal with russianlinked dirty money at home #sundaymorning","the disgraced prime minister and his disastrous government are too distracted to deal with the cost of living crisis they created @uklabour would raise money through a windfall tax on north sea oil and gas profits so that we can cut bills now","in the winter olympics im cheering #teamgb all the way but we must use this moment to send a message to beijing the oppression of the uyghur people and other human rights abuses in china must end","the prime minister should resign","its time the @conservatives returned donations from those with alleged links to the putin regime and stopped dragging their feet over measures to clamp down on dirty russian money in the uk","it is shameful that britain is repeatedly described as the moneylaundering capital of the world we cant stand up to russias aggression abroad while ignoring russianlinked corruption at home",""
"101","this conservative government could help working families pensioners and struggling businesses but they care more about protecting oil and gas producers labour would introduce a oneoff windfall tax on their profits to support uk households","today 70 years ago her majesty queen elizabeth ii acceded to the throne the labour party would like to express our deepest thanks to her majesty for seven decades of unparalleled public service","energy bills are soaring to record levels it is time for a government which is focused on tackling the costofliving crisis only labour can offer a credible and ambitious alternative to this conservative chaos","millions are worried about soaring bills labour would provide security with lower energy bills paid for by a windfall tax on oil and gas profits","labour would end the system where communities have to go capinhand to westminster your community deserves the power and money to decide what is best for your area","","",""
"105","the new world normal you and your children are their peasants","triggered citizen in ottawa with a chin diaper gets triggered by the trucker convoys honking and also accuses the protesters of not caring about blacks and asians","oh rock sad how you just cave to a white leftist white leftists silencing the open opinions and words of people of color forcing them to their knees in public repentance dwayne wake the hell up","breaking telegram group socal patriot events has announced a medical freedom protest at the upcoming super bowl in collaboration with usa truck convoy source","watch as cnn openly states joe rogan needs to do more than put out an apology video over the recent compilation video of him saying the nword @joerogan it will never be enough there is no appeasing this mob stop apologizing and stand your ground","psychopaths are now attempting to murder peaceful protesters in canada with their vehicles but dont worry the suspect had a mask on to stop the spread of covid to protect others in his vehicle while he was attempting to murder another human with it so","local police have released charges for the suspect in custody that include a mere assault with a weapon","video"
"112","covid19 is the least of our worries at this point a third of americans are already facing aboveaverage warming","zero covid19 is no longer feasible and according to dr fauci nearly every person will contract covid19 at some point during their lifetime the goal now should mirror how we approach other endemic diseasesvaccines and therapeutics","that would be andriy zagorodnyuk the first result from a google search hes now with the atlantic council a pronato us think tank russia has enough troops ready to take kyiv says former ukraine defence chief","us policy should be to offer vaccines and therapeutics to any and all who want them zero covid is no longer feasible","i fully support funding covid19 vaccines and therapeutics if you want to continue to wear a mask go for it","when masking was the only thing we could do masking made perfect sense but that time has passed","if people want to wear masks im all for it but covid is now endemic which means everyone will eventually contract covid",""
"125","appears that @hfxregpolice are not allowing the vehicle protesters into or out of pier 21 the truckers are trying to devise a plan b on the fly trying to head to point pleasant park","the messaging from organizers theyre indicating traffic escorts may be possible and that there sensing that fines wont be issued to those in the convoy not a public statement yes but one must only look to ottawa to see what is possible when to comes to inaction","messages from the truckers indicating as such on various platforms as per organizers theyre in direct contact with halifax police","if youre in halifax today avoid the below route this afternoon traffic will be interrupted by the halifax convoy 2022 could be 200 vehicles long @hfxregpolice are apparently working to support this amp rolling out the red carpet windsor @rcmpns are allegedly supportive","yes at wellington and metcalfe it appears as of a minutes ago as per a tiktok live stream","blatant lies im watching live videos now its 951pm eastern and many horns are honking disgraceful","im struggling to see how ottawa police service detailing how many officers are on the street is a safety concern for their officers","are you calling the actions in ottawa a protest its well beyond a protest at this point its a clear infringement on the rights of ottawa residents now additionally this is a temporary action the provincial state of emergency will end at which time this directive will end"
