"","x"
"1","the"
"2","to"
"3","a"
"4","and"
"5","you"
"6","i"
"7","of"
"8","is"
"9","in"
"10","for"
"11","on"
"12","this"
"13","it"
"14","have"
"15","that"
"16","are"
"17","with"
"18","my"
"19","your"
"20","be"
"21","we"
"22","but"
"23","me"
"24","not"
"25","its"
"26","so"
"27","all"
"28","will"
"29","like"
"30","at"
"31","they"
"32","as"
"33","do"
"34","just"
"35","one"
"36","now"
"37","what"
"38","he"
"39","up"
"40","im"
"41","good"
"42","if"
"43","from"
"44","amp"
"45","get"
"46","out"
"47","people"
"48","has"
"49","by"
"50","was"
"51","dont"
"52","can"
"53","follow"
"54","day"
"55","would"
"56","no"
"57","about"
"58","when"
"59","some"
"60","our"
"61","over"
"62","an"
"63","how"
"64","love"
"65","go"
"66","who"
"67","been"
"68","or"
"69","their"
"70","hours"
"71","hope"
"72","time"
"73","see"
"74","thanks"
"75","well"
"76","know"
"77","still"
"78","thank"
"79","much"
"80","them"
"81","here"
"82","only"
"83","because"
"84","think"
"85","first"
"86","his"
"87","please"
"88","happy"
"89","us"
"90","2"
"91","take"
"92","new"
"93","very"
"94","why"
"95","rt"
"96","thats"
"97","also"
"98","too"
"99","more"
"100","than"
"101","had"
"102","right"
"103","need"
"104","make"
"105","were"
"106","other"
"107","got"
"108","her"
"109","most"
"110","should"
"111","#nft"
"112","best"
"113","1"
"114","giveaway"
"115","cant"
"116","few"
"117","did"
"118","back"
"119","him"
"120","where"
"121","even"
"122","made"
"123","after"
"124","into"
"125","live"
"126","come"
"127","youre"
"128","years"
"129","these"
"130","yes"
"131","way"
"132","project"
"133","hes"
"134","she"
"135","great"
"136","there"
"137","say"
"138","today"
"139","thing"
"140","oh"
"141","nft"
"142","being"
"143","friend"
"144","better"
"145","really"
"146","team"
"147","soon"
"148","look"
"149","tweet"
"150","want"
"151","man"
"152","big"
"153","someone"
"154","win"
"155","never"
"156","nice"
"157","both"
"158","hate"
"159","off"
"160","dm"
"161","ive"
"162","going"
"163","play"
"164","last"
"165","beautiful"
"166","use"
"167","amazing"
"168","night"
"169","game"
"170","support"
"171","nothing"
"172","any"
"173","said"
"174","does"
"175","done"
"176","down"
"177","discord"
"178","3"
"179","morning"
"180","#"
"181","could"
"182","point"
"183","away"
"184","help"
"185","another"
"186","okay"
"187","friends"
"188","birthday"
"189","always"
"190","sunday"
"191","already"
"192","listen"
"193","coming"
"194","understand"
"195","every"
"196","while"
"197","which"
"198","many"
"199","world"
"200","hi"
"201","video"
"202","glc"
"203","ask"
"204","something"
"205","life"
"206","yeah"
"207","whole"
"208","show"
"209","give"
"210","homework"
"211","important"
"212","mean"
"213","5"
"214","looking"
"215","end"
"216","essay"
"217","kind"
"218","before"
"219","year"
"220","science"
"221","old"
"222","#nfts"
"223","joe"
"224","same"
"225","then"
"226","special"
"227","freedom"
"228","covid"
"229","join"
"230","everyone"
"231","bit"
"232","days"
"233","person"
"234","dear"
"235","buy"
"236","rogan"
"237","check"
"238","playing"
"239","lot"
"240","things"
"241","super"
"242","am"
"243","lets"
"244","king"
"245","winner"
"246","lol"
"247","u"
"248","grand"
"249","mask"
"250","those"
"251","try"
"252","post"
"253","price"
"254","again"
"255","two"
"256","100"
"257","#nftcommunity"
"258","feel"
"259","doing"
"260","doesnt"
"261","part"
"262","work"
"263","true"
"264","each"
"265","retweet"
"266","ever"
"267","questions"
"268","hopefully"
"269","via"
"270","power"
"271","least"
"272","watch"
"273","shes"
"274","police"
"275","due"
"276","looks"
"277","theres"
"278","fun"
"279","let"
"280","find"
"281","season"
"282","actually"
"283","radio"
"284","turn"
"285","absolutely"
"286","50"
"287","having"
"288","anyone"
"289","winners"
"290","2022"
"291","guys"
"292","keep"
"293","tag"
"294","little"
"295","sleep"
"296","write"
"297","family"
"298","twitter"
"299","times"
"300","free"
"301","seen"
"302","stop"
"303","na"
"304","country"
"305","real"
"306","gonna"
"307","sad"
"308","event"
"309","@nft__royale"
"310","next"
"311","making"
"312","left"
"313","bro"
"314","community"
"315","profile"
"316","may"
"317","different"
"318","theyre"
"319","pay"
"320","later"
"321","contract"
"322","sure"
"323","lovely"
"324","drop"
"325","art"
"326","wearing"
"327","welcome"
"328","early"
"329","working"
"330","getting"
"331","credit"
"332","social"
"333","24"
"334","party"
"335","through"
"336","x"
"337","lil"
"338","website"
"339","own"
"340","makes"
"341","ok"
"342","hard"
"343","running"
"344","10"
"345","6"
"346","song"
"347","uk"
"348","care"
"349","tax"
"350","yet"
"351","given"
"352","handle"
"353","course"
"354","everything"
"355","14"
"356","others"
"357","must"
"358","face"
"359","creators"
"360","set"
"361","nfts"
"362","needs"
"363","chance"
"364","idr"
"365","list"
"366","machine"
"367","long"
"368","whats"
"369","hurry"
"370","pls"
"371","em"
"372","business"
"373","enter"
"374","reason"
"375","lost"
"376","wouldnt"
"377","continue"
"378","ottawa"
"379","reaction"
"380","launched"
"381","start"
"382","god"
"383","ill"
"384","words"
"385","7"
"386","#crypto"
"387","bad"
"388","wanted"
"389","dancing"
"390","ship"
"391","believe"
"392","talking"
"393","waiting"
"394","vote"
"395","month"
"396","research"
"397","fake"
"398","miss"
"399","4"
"400","top"
"401","prize"
"402","around"
"403","money"
"404","guess"
"405","definitely"
"406","favorite"
"407","#bsc"
"408","online"
"409","kitty"
"410","yours"
"411","floran"
"412","group"
"413","short"
"414","ends"
"415","12"
"416","happen"
"417","proof"
"418","home"
"419","congrats"
"420","cool"
"421","until"
"422","didnt"
"423","trying"
"424","games"
"425","episodes"
"426","whitelist"
"427","head"
"428","scores"
"429","takes"
"430","though"
"431","tv"
"432","since"
"433","youll"
"434","treat"
"435","enjoy"
"436","gas"
"437","instagram"
"438","either"
"439","masing"
"440","metaship"
"441","#teamstallion"
"442","fight"
"443","key"
"444","stars"
"445","lvl"
"446","math"
"447","thesis"
"448","brilliant"
"449","#koimoi"
"450","63s"
"451","qashqai"
"452","tim"
"453","robinson"
"454","@youtube"
"455","pp"
"456","publish"
"457","sound"
"458","@jeevansukhi"
"459","tweeter"
"460","disown"
"461","restrictions"
"462","#paydomyhomework"
"463","#cdnpoli"
"464","10000000000000"
"465","name"
"466","heres"
"467","ago"
"468","guy"
"469","feb"
"470","future"
"471","gorgeous"
"472","phone"
"473","fuck"
"474","such"
"475","young"
"476","opinion"
"477","episode"
"478","between"
"479","energy"
"480","issues"
"481","olls"
"482","goal"
"483","cause"
"484","idea"
"485","congratulations"
"486","havent"
"487","wrong"
"488","dog"
"489","week"
"490","tweets"
"491","pool"
"492","history"
"493","rather"
"494","competent"
"495","writers"
"496","papers"
"497","anatomy"
"498","excel"
"499","trigonometry"
"500","physics"
"501","assignments"
"502","sociology"
"503","engineering"
"504","exams"
"505","kindly"
"506","dragonblogger"
"507","car"
"508","luck"
"509","sweet"
"510","probably"
"511",""
"512","#giveaway"
"513","learn"
"514","during"
"515","went"
"516","without"
"517","goals"
"518","release"
"519","recent"
"520","might"
"521","isnt"
"522","alfie"
"523","ground"
"524","call"
"525","near"
"526","labour"
"527","spent"
"528","pal"
"529","stay"
"530","class"
"531","15"
"532","tonight"
"533","streaming"
"534","program"
"535","jury"
"536","west"
"537","gets"
"538","hand"
"539","#metaverse"
"540","living"
"541","match"
"542","tell"
"543","#whoisbinance"
"544","using"
"545","government"
"546","convoy"
"547","citizens"
"548","gone"
"549","media"
"550","vinu"
"551","walk"
"552","dreams"
"553","thought"
"554","less"
"555","meet"
"556","agree"
"557","put"
"558","oil"
"559","happening"
"560","yrs"
"561","2018"
"562","details"
"563","far"
"564","hell"
"565","fact"
"566","job"
"567","asks"
"568","bills"
"569","eat"
"570","february"
"571","dance"
"572","keeping"
"573","dumb"
"574","public"
"575","ways"
"576","place"
"577","watched"
"578","#btc"
"579","problem"
"580","months"
"581","city"
"582","seeing"
"583","expect"
"584","vs"
"585","run"
"586","fr"
"587","weekend"
"588","fav"
"589","ready"
"590","share"
"591","room"
"592","crypto"
"593","stream"
"594","order"
"595","shit"
"596","wl"
"597","club"
"598","sense"
"599","windfall"
"600","number"
"601","become"
"602","bought"
"603","ada"
"604","data"
"605","congress"
"606","wont"
"607","fantastic"
"608","deal"
"609","maybe"
"610","rap"
"611","de"
"612","respect"
"613","dad"
"614","protesters"
"615","vehicle"
"616","process"
"617","pop"
"618","ecoz"
"619","deaths"
"620","india"
"621","bank"
"622","against"
"623","wasnt"
"624","yesterday"
"625","photo"
"626","offer"
"627","wanna"
"628","companies"
"629","saying"
"630","review"
"631","literally"
"632","kids"
"633","lt3"
"634","comment"
"635","canadian"
"636","voice"
"637","ali"
"638","black"
"639","white"
"640","travel"
"641","forward"
"642","claim"
"643","parents"
"644","netflix"
"645","wait"
"646","second"
"647","aint"
"648","19"
"649","attempting"
"650","lose"
"651","glad"
"652","wants"
"653","fans"
"654","1000"
"655","#nftartist"
"656","taking"
"657","interview"
"658","choice"
"659","drops"
"660","create"
"661","brent"
"662","#cryptocurrency"
"663","current"
"664","cod"
"665","watching"
"666","strong"
"667","park"
"668","spreading"
"669","#mostrequestedlive"
"670","wonder"
"671","20"
"672","hey"
"673","normal"
"674","murder"
"675","happens"
"676","fly"
"677","standard"
"678","closer"
"679","building"
"680","ridiculous"
"681","metaverse"
"682","remember"
"683","market"
"684","act"
"685","case"
"686","plot"
"687","under"
"688","wallet"
"689","practice"
"690","tak"
"691","evening"
"692","anymore"
"693","gofundme"
"694","busy"
"695","learning"
"696","students"
"697","flights"
"698","beloved"
"699","ji"
"700","personality"
"701","wallets"
"702","once"
"703","tg"
"704","lessons"
"705","brother"
"706","#afcon2021"
"707","paid"
"708","queen"
"709","mind"
"710","enough"
"711","plan"
"712","station"
"713","investigation"
"714","automatically"
"715","loss"
"716","wins"
"717","blocked"
"718","incident"
"719","worse"
"720","basic"
"721","8pm"
"722","eth"
"723","series"
"724","#nftart"
"725","#nftdrop"
"726","date"
"727","nope"
"728","heart"
"729","cup"
"730","dearmoon"
"731","fan"
"732","three"
"733","@onairromeo"
"734","cards"
"735","harder"
"736","element"
"737","harry"
"738","january"
"739","gain"
"740","contact"
"741","assault"
"742","released"
"743","include"
"744","planned"
"745","constantly"
"746","clear"
"747","charged"
"748","relation"
"749","occurred"
"750","child"
"751","finds"
"752","spend"
"753","prediction"
"754","magic"
"755","e"
"756","theyd"
"757","followed"
"758","fave"
"759","laugh"
"760","squshlist"
"761","bites"
"762","#beautybay"
"763","aww"
"764","lines"
"765","site"
"766","elon"
"767","musk"
"768","computer"
"769","tomorrow"
"770","21"
"771","sent"
"772","giving"
"773","weve"
"774","al"
"775","#golegends"
"776","yourself"
"777","anything"
"778","found"
"779","acting"
"780","leave"
"781","says"
"782","#binance"
"783","hit"
"784","worried"
"785","#1ddrive"
"786","war"
"787","kill"
"788","plain"
"789","bread"
"790","bbc"
"791","open"
"792","apart"
"793","local"
"794","rise"
"795","listened"
"796","canada"
"797","sat"
"798","jobs"
"799","reminder"
"800","learnt"
"801","baby"
"802","funds"
"803","#shib"
"804","training"
"805","almost"
"806","lucky"
"807","followers"
"808","levels"
"809","board"
"810","cover"
"811","inter"
"812","liverpool"
"813","sir"
"814","flowers"
"815","johnson"
"816","kst"
"817","result"
"818","piece"
"819","#covid19"
"820","daddy"
"821","comfortably"
"822","1010"
"823","enjoyable"
"824","several"
"825","realize"
"826","carry"
"827","serious"
"828","sorry"
"829","music"
"830","die"
"831","leaving"
"832","shoes"
"833","#lgk"
"834","max"
"835","orders"
"836","lady"
"837","tribute"
"838","peaceful"
"839","sex"
"840","kinds"
"841","wheres"
"842","scene"
"843","messages"
"844","halifax"
"845","compare"
"846","ongoing"
"847","n"
"848","term"
"849","held"
"850","sick"
"851","artists"
"852","checked"
"853","paint"
"854","historic"
"855","recover"
"856","dat"
"857","#1000cr"
"858","outfit"
"859","misinformation"
"860","mode"
"861","minds"
"862","claiming"
"863","ghost"
"864","duty"
"865","mickey"
"866","nose"
"867","terms"
"868","shirt"
"869","gave"
"870","indies"
"871","andy"
"872","wear"
"873","question"
"874","asking"
"875","couple"
"876","stuff"
"877","funny"
"878","feeling"
"879","sale"
"880","stopped"
"881","main"
"882","8"
"883","boy"
"884","darcie"
"885","omg"
"886","#memecoin"
"887","#eth"
"888","rich"
"889","decide"
"890","speak"
"891","record"
"892","americans"
"893","type"
"894","app"
"895","fast"
"896","drink"
"897","cases"
"898","#nftgiveaway"
"899","gotta"
"900","wow"
"901","human"
"902","w"
"903","problems"
"904","tired"
"905","wonderful"
"906","isaiah"
"907","weeks"
"908","full"
"909","75"
"910","school"
"911","address"
"912","red"
"913","channel"
"914","multiple"
"915","quite"
"916","code"
"917","totally"
"918","faith"
"919","road"
"920","minutes"
"921","awesome"
"922","cute"
"923","stray"
"924","dos"
"925","hyunin"
"926","httpstcoyxx1kkkbyr"
"927","store"
"928","malming"
"929","ini"
"930","milan"
"931","mike"
"932","maignan"
"933","#lazoneid"
"934","#lihatasiknya"
"935","#derbydellamadonnina"
"936","gol"
"937","#daletuerto"
"938","tommy"
"939","serving"
"940","@tommysittichok"
"941","#tommysittichok"
"942","#starmee"
"943","gravy"
"944","forseriously"
"945","airing"
"946","@xtreme1071"
"947","dubuque"
"948","ia"
"949","projects"
"950","hem"
"951","dalam"
"952","tu"
"953","okies"
"954","#handeerel"
"955","voting"
"956","damn"
"957","regret"
"958","slaps"
"959","blackbad"
"960","whiteright"
"961","multinational"
"962","teamdriven"
"963","cosmic"
"964","warsthemed"
"965","earn"
"966","ownership"
"967","renounced"
"968","cgampcmc"
"969","0x928b6f9ae4ac6d64c551a41ed36836f719fbc04b"
"970","recall"
"971","boris"
"972","attended"
"973","strict"
"974","lockdown"
"975","#downingstreetparties"
"976","#borisjohnsonresign"
"977","angola"
"978","magenta"
"979","hacking"
"980","synthesizing"
"981","navigating"
"982","dynamic"
"983","analyzer"
"984","strategist"
"985","lane"
"986","index"
"987","#wewantofferorders"
"988","pst"
"989","jest"
"990","candidates"
"991","solve"
"992","tus"
"993","stickers"
"994","push"
"995","#newweek"
"996","stallion"
"997","#family"
"998","#staysafe"
"999","truth"
"1000","tahnee"
"1001","@harrys1dempire"
"1002","@tahneequeen"
"1003","@vipgains"
"1004","@1_tahnee"
"1005","@luisalarosa"
"1006","@luisa2424"
"1007","@yelarvel"
"1008","implement"
"1009","avenues"
"1010","locs"
"1011","formation"
"1012","cult"
"1013","radicalized"
"1014","@justintrudeau"
"1015","coarse"
"1016","ravi"
"1017","wheein"
"1018","appearing"
"1019","kbs"
"1020","fm"
"1021","shin"
"1022","yeeuns"
"1023","volume"
"1024","#wheein"
"1025","@thel1ve_label"
"1026","example"
"1027","inlaws"
"1028","tezos"
"1029","pensando"
"1030","ai"
"1031","chanlix"
"1032","sto"
"1033","bene"
"1034","zello"
"1035","33yearold"
"1036","alexander"
"1037","julien"
"1038","sexual"
"1039","oc"
"1040","oblak"
"1041","mresh"
"1042","shifty"
"1043","register"
"1044","jamais"
"1045","tfi"
"1046","atractive"
"1047","happiest"
"1048","lia"
"1049","saudi"
"1050","que"
"1051","cante"
"1052","las"
"1053","canciones"
"1054","#bewithme"
"1055","#flyaway"
"1056","@dimash_official"
"1057","dimash"
"1058","dubi"
"1059","ba"
"1060","#crossdresser"
"1061","#femboy"
"1062","hj"
"1063","tem"
"1064","ooooooo"
"1065","acervo"
"1066","buzz"
"1067","brawl"
"1068","candy"
"1069","diamante"
"1070","trial"
"1071","pode"
"1072","vir"
"1073","crowberry"
"1074","vem"
"1075","simply"
"1076","eyes"
"1077","ozo"
"1078","#thekingsmatch"
"1079","#budweiserkingsoffootball"
"1080","woww"
"1081","twist"
"1082","supporters"
"1083","closes"
"1084","awwww"
"1085","yar"
"1086","gracies"
"1087","replying"
"1088","imessage"
"1089","cried"
"1090","couldve"
"1091","sip"
"1092","apna"
"1093","firefox"
"1094","uses"
"1095","stricter"
"1096","coding"
"1097","@leonardojjardim"
"1098","loved"
"1099","philly"
"1100","partly"
"1101","jorts"
"1102","slightest"
"1103","exciting"
"1104","reasonable"
"1105","miles"
"1106","drive"
"1107","63ss"
"1108","burger"
"1109","hehe"
"1110","adults"
"1111","crootz"
"1112","#savesindhsaveheadmasters"
"1113","#crypto_signal"
"1114","grtusdt"
"1115","038"
"1116","expectation"
"1117","056"
"1118","070"
"1119","stable"
"1120","#altcoins"
"1121","#altseason"
"1122","#cryptotrading"
"1123","#cryptocurrencies"
"1124","#coinmarketcap"
"1125","#grt"
"1126","#usdt"
"1127","#cryptosignals"
"1128","#axs"
"1129","#analysis"
"1130","#aave"
"1131","squshy"
"1132","capture"
"1133","opponents"
"1134","squishies"
"1135","wave"
"1136","goodbye"
"1137","squshies"
"1138","#vanguard"
"1139","reportedly"
"1140","receive"
"1141","mood"
"1142","israels"
"1143","jinjin"
"1144","mj"
"1145","shine"
"1146","accurate"
"1147","pacer"
"1148","tweeps"
"1149","revolving"
"1150","cafes"
"1151","walks"
"1152","tuckered"
